RAW_DATA|GIVEN_NAME|TOP_NICKNAME|ALL_NICKNAMES_ORDERED
danielle,ellie,dani|danielle|dani|dani,ellie
danny,daniel|danny|daniel|daniel
daphne,daph,daphie|daphne|daph|daph,daphie
darlene,lena,darry|darlene|lena|darry,lena
dave,david|dave|david|david
davey,david|davey|david|david
david,dave,day,davey|david|dave|dave,davey,day
deanne,ann,dee|deanne|ann|ann,dee
deb,deborah,debra|deb|debra|deborah,debra
debbie,deb,debra,deborah,debby|debbie|deb|deb,debby,deborah,debra
debby,deb|debby|deb|deb
debora,deb,debbie,debby|debora|debbie|deb,debbie,debby
deborah,deb,debbie,debby|deborah|debbie|deb,debbie,debby
debra,deb,debbie|debra|debbie|deb,debbie
deidre,deedee|deidre|deedee|deedee
delbert,bert,del|delbert|bert|bert,del
delilah,lil,lila,dell,della|delilah|lil|dell,della,lil,lila
deliverance,delly,dilly,della|deliverance|delly|della,delly,dilly
dell,della|dell|della|della
della,adela,delilah,adelaide|della|adela|adela,adelaide,delilah
delores,lolly,lola,della,dee,dell|delores|lola|dee,dell,della,lola,lolly
delpha,philadelphia|delpha|philadelphia|philadelphia
delphine,delphi,del,delf|delphine|delf|del,delf,delphi
demaris,dea,maris,mary|demaris|mary|dea,maris,mary
demerias,dea,maris,mary|demerias|mary|dea,maris,mary
democrates,mock|democrates|mock|mock
denise,dennis|denise|dennis|dennis
dennis,denny|dennis|denny|denny
dennison,denny|dennison|denny|denny
derrick,ricky,eric,rick|derrick|rick|eric,rick,ricky
deuteronomy,duty|deuteronomy|duty|duty
diana,dicey,didi,di|diana|didi|di,dicey,didi
diane,dicey,didi,di|diane|didi|di,dicey,didi
dicey,dicie|dicey|dicie|dicie
dick,rick,richard|dick|rick|richard,rick
dickson,dick|dickson|dick|dick
domenic,dom|domenic|dom|dom
dominic,dom|dominic|dom|dom
don,donald|don|donald|donald
donald,dony,donnie,don,donny|donald|don|don,donnie,donny,dony
donnie,donald,donny|donnie|donny|donald,donny
donny,donald|donny|donald|donald
dorcus,darkey|dorcus|darkey|darkey
dorinda,dorothea,dora|dorinda|dora|dora,dorothea
doris,dora|doris|dora|dora
dorothea,doda,dora|dorothea|dora|doda,dora
dorothy,dortha,dolly,dot,dotty|dorothy|dot|dolly,dortha,dot,dotty
dot,dotty|dot|dotty|dotty
dotha,dotty|dotha|dotty|dotty
douglas,doug|douglas|doug|doug
drew,andrew|drew|andrew|andrew
drusilla,silla|drusilla|silla|silla
duncan,dunk|duncan|dunk|dunk
earnest,ernestine,ernie|earnest|ernie|ernestine,ernie
eb,ebbie|eb|ebbie|ebbie
ebenezer,ebbie,eben,eb|ebenezer|eben|eb,ebbie,eben
ed,eddie,eddy|ed|eddy|eddie,eddy
eddie,eddy|eddie|eddy|eddy
edgar,ed,eddie,eddy|edgar|eddie|ed,eddie,eddy
edith,edie,edye|edith|edie|edie,edye
edmond,ed,eddie,eddy|edmond|ed|ed,eddie,eddy
edmund,ed,eddie,ted,eddy,ned|edmund|ted|ed,eddie,eddy,ned,ted
edna,edny|edna|edny|edny
eduardo,ed,eddie,eddy|eduardo|ed|ed,eddie,eddy
edward,teddy,ed,ned,ted,eddy,eddie|edward|ted|ed,eddie,eddy,ned,ted,teddy
edwin,ed,eddie,win,eddy,ned|edwin|ed|ed,eddie,eddy,ned,win
edwina,edwin|edwina|edwin|edwin
edyth,edie,edye|edyth|edie|edie,edye
edythe,edie,edye|edythe|edie|edie,edye
egbert,bert,burt|egbert|bert|bert,burt
eighta,athy|eighta|athy|athy
eileen,helen|eileen|helen|helen
elaine,lainie,helen|elaine|helen|helen,lainie
elbert,albert|elbert|albert|albert
elbertson,elbert,bert|elbertson|bert|bert,elbert
eleanor,lanna,nora,nelly,ellie,elaine,ellen,lenora|eleanor|nora|elaine,ellen,ellie,lanna,lenora,nelly,nora
eleazer,lazar|eleazer|lazar|lazar
elena,helen|elena|helen|helen
elias,eli,lee,lias|elias|eli|eli,lee,lias
elijah,lige,eli|elijah|eli|eli,lige
eliphalel,life|eliphalel|life|life
eliphalet,left|eliphalet|left|left
elisa,lisa|elisa|lisa|lisa
elisha,lish,eli|elisha|eli|eli,lish
eliza,elizabeth|eliza|elizabeth|elizabeth
elizabeth,libby,lisa,lib,lizzie,eliza,betsy,liza,betty,bessie,bess,beth,liz|elizabeth|beth|bess,bessie,beth,betsy,betty,eliza,lib,libby,lisa,liz,liza,lizzie
ella,ellen|ella|ellen|ellen
ellen,nellie,nell,helen|ellen|nell|helen,nell,nellie
